"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"516",0.202259262669982,0,51.2790697674419,0,3.44186046511628,42.953488372093,0.2125,0,3.3953488372093,0.0930232558139535,43,1,11,11,2.0602766213224,0.426165264632893,206,0,761,0,"i_gpII"
"517",0.128774773134238,0,40.6052631578947,0,3.19487908961593,37.9473684210526,0.0701754385964912,0,3.26315789473684,0.105263157894737,1,1,13,13,2.0092248138956,0.452588571842829,163,0,587,0,"i_gpII"
"518",0.0735726537613326,0,47.9285714285714,0,3.33797909407666,0,0.136986301369863,0,3.38095238095238,0,1,0,31,0,1.7523834772491,0,199,0,689,0,"i_gpII"
"519",0.0120542599062099,0,46.3023255813954,0,3.20487264673311,42.953488372093,0.144578313253012,0,3.3953488372093,0.0930232558139535,42,3,5,1,1.96565189578808,0.426165264632893,225,0,877,0,"i_gpII"
"520",-0.0522059697942682,0,52.4042553191489,0,3.27844588344126,46.9574468085106,0.0379746835443038,0,3.36170212765957,0.0851063829787234,46,1,3,28,1.83475542636085,0.408059417777157,231,0,841,0,"i_gpII"
"521",0.172565964880022,-0.500000000000001,52.26,0.02,3.1330612244898,49.8408163265306,0.0925925925925926,0,4,0.24,50,1,12,38,1.88441513689613,0.770899289327545,304,1,1223,0,"i_gpII"
"522",0.0408528859177699,-0.2,41.4054054054054,0.027027027027027,3.3003003003003,36.6231231231231,0.0842696629213483,0,3.45945945945946,0.648648648648649,3,1,9,9,1.99436142097602,1.05977503420449,168,1,593,0,"i_gpII"
"523",-0.142149101672748,0,74.6666666666667,0,4.17730496453901,47.9166666666667,0.0384615384615385,0,2.83333333333333,0.166666666666667,46,1,24,9,1.46350400465158,0.558620387730928,152,0,425,0,"i_gpII"
"524",-0.187569237945309,0,47,0,3.23809523809524,0,0.0742574257425743,0,3.11627906976744,0,42,0,27,0,1.69325415533271,0,192,0,692,0,"i_gpII"
"525",0.0665069196537727,0.0769230769230767,38.2727272727273,0.0606060606060606,3.39204545454545,32.5795454545455,0.0725806451612903,0,3.27272727272727,0.727272727272727,4,2,23,23,2.22588082667187,1.64455022864778,118,2,342,0,"i_gpII"
"526",0.160772120741029,0,55.3191489361702,0,3.40518038852914,46.8723404255319,0.0594059405940594,0,3.36170212765957,0.25531914893617,1,1,12,6,1.88155268808472,0.674636298356477,194,0,676,0,"i_gpII"
"527",0.0988534897236752,-1,34.5151515151515,0.0606060606060606,3.15719696969697,32.6401515151515,0.109489051094891,0,3.15151515151515,0.484848484848485,3,1,9,9,2.10833483051809,1.12141685272505,127,2,415,0,"i_gpII"
"528",0.107761427269176,0,49.8139534883721,0,3.37209302325581,42.906976744186,0.087378640776699,0,3.30232558139535,0.186046511627907,42,1,27,16,1.6407733908265,0.587805197464358,194,0,692,0,"i_gpII"
"529",-0.0254866228243932,0,36.8461538461538,0,2.93927125506073,38.8974358974359,0.0861244019138756,0,3.48717948717949,0.205128205128205,3,1,9,9,2.2227507243787,0.614709481209456,197,0,748,0,"i_gpII"
"530",0.130726792995922,0.0983606557377051,58.2857142857143,0.0204081632653061,3.42857142857143,48.7559523809524,0.0753138075313808,0,3.42857142857143,0.448979591836735,3,1,13,41,1.85965946703512,1.0420577497152,227,1,858,0,"i_gpII"
"531",0.0592662276575722,0,57.8474576271186,0,2.99473991817651,58.8983050847458,0.122270742358079,0,4.74576271186441,0.203389830508475,3,1,38,12,2.60366598537777,0.609682252374395,631,0,3551,0,"i_gpII"
"532",-0.0770743827320253,0,57.7446808510638,0,3.51063829787234,46.9148936170213,0.0481283422459893,0,3.06382978723404,0.170212765957447,3,1,16,16,1.6205776656482,0.564113345693939,181,0,589,0,"i_gpII"
"533",-0.165530068195909,0,62.7777777777778,0,3.36897274633124,53.962962962963,0.0906040268456376,0,3.48148148148148,0.0740740740740741,54,1,12,36,1.66813352640451,0.381251754185973,280,0,1061,0,"i_gpII"
"534",-0.121135740232783,0,45.2558139534884,0,3.15503875968992,42.953488372093,0.0594059405940594,0,3.30232558139535,0.0930232558139535,43,1,3,41,1.55126497876089,0.426165264632893,194,0,656,0,"i_gpII"
"535",0.207852193995381,1,62.6976744186046,0,3.98560354374308,42.8139534883721,0.0923076923076923,0,2.93023255813953,0.418604651162791,3,1,13,15,1.2797944187067,0.905868647566808,122,0,321,0,"i_gpII"
"536",-0.213037037037036,0,51.9767441860465,0,3.47508305647841,42.953488372093,0.111702127659574,0,3.2093023255814,0.0930232558139535,42,1,12,36,1.37248713299344,0.426165264632893,174,0,528,0,"i_gpII"
"537",0.0368914807302234,-0.500000000000001,58.7333333333333,0.0222222222222222,3.66969696969697,44.8232323232323,0.109947643979058,0,3.15555555555556,0.266666666666667,3,1,27,27,1.79589880707475,0.80903983495589,177,1,562,0,"i_gpII"
"538",0.363219202259089,-0.333333333333333,59.3571428571429,0,3.89547038327526,41.9523809523809,0.135593220338983,0,3.14285714285714,0.19047619047619,1,1,31,31,1.94524346173828,0.96873302315498,161,0,514,0,"i_gpII"
"539",-0.0767198619797282,1,39.7894736842105,0,3.15078236130868,37.8947368421053,0.0511363636363636,0,3.31578947368421,0.263157894736842,2,1,1,29,1.80247972073751,0.794719414239026,170,0,570,0,"i_gpII"
"540",-0.00618520777071157,0,53.7674418604651,0,3.56035437430786,0,0.105,0,3.25581395348837,0,1,0,8,0,1.55980803543888,0,186,0,589,0,"i_gpII"
"541",0.172104314562107,0,50.7441860465116,0,3.41638981173865,42.953488372093,0.0757575757575758,0,3.16279069767442,0.0930232558139535,3,1,9,9,1.97520622863176,0.426165264632893,188,0,663,0,"i_gpII"
"542",-0.0480214547643805,1,32.5897435897436,0,2.71524966261808,38.7948717948718,0.163487738419619,0,4.15384615384615,0.461538461538462,39,1,7,17,2.95170300119905,0.941615460850851,327,0,1667,0,"i_gpII"
"543",-0.10530195076409,0,41.4634146341463,0,3.07317073170732,0,0.0646551724137931,0,3.36585365853659,0,41,0,10,0,1.85413183944637,0,222,0,877,0,"i_gpII"
"544",0.125853658536586,0,58.4222222222222,0,3.65555555555556,44.9555555555556,0.101123595505618,0,3.11111111111111,0.0888888888888889,1,1,11,3,1.61276473827093,0.416818154279985,166,0,507,0,"i_gpII"
