"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"11",-0.0204670699276997,-0.0557667934093791,39.2363636363636,0.218181818181818,2.45319865319865,54.1717171717172,0.100783874580067,0,6.29090909090909,1.01818181818182,41,2,34,22,2.99179574016037,1.67211231559354,833,10,5382,9,"i_gpI"
"12",-0.00210644651923041,0.190227173686504,32.6774193548387,22,2.0713907985193,49.4632469592808,0.184815184815185,0.0526315789473684,10.9032258064516,2.54838709677419,54,2,9,9,5.34608690177127,2.8496615810282,2633,55,27025,107,"i_gpI"
"13",0.00321589003432248,0.141180996345451,38.3064516129032,1.59677419354839,2.25594923320994,60.0200951877314,0.171844660194175,0,8.54838709677419,1.51612903225806,1,1,12,13,4.56529107525446,1.77174486084487,1824,14,16121,12,"i_gpI"
"14",-0.0694884721294847,0.0141712877387554,37.6984126984127,11.4920634920635,2.21607782898105,54.8627752176139,0.146884272997033,0.0666666666666667,8.92063492063492,2.03174603174603,47,2,34,34,4.00926985268691,2.39601991192285,1824,43,15766,74,"i_gpI"
"15",-0.118879061120059,-0.500000000000001,43.4918032786885,0.0655737704918033,2.44972677595628,60.4775956284153,0.117247238742566,0,6.32786885245902,0.786885245901639,1,1,6,4,3.42403909379653,1.22630548258255,1085,4,7847,0,"i_gpI"
"16",0.00999388371613506,-0.0683553734401191,35.2857142857143,6.57142857142857,2.13824884792627,56.1961085509473,0.21105010295127,0.0845070422535211,10.2222222222222,2.38095238095238,15,2,12,12,6.80475271396455,3.4614399922975,2504,67,25710,152,"i_gpI"
"17",-0.0535844558749583,-0.200050774308201,34.921875,1.28125,2.10863095238095,61.5719246031746,0.188426252646436,0.1,10.125,1.8125,60,5,13,13,4.80905231069325,2.17398033022161,2478,28,24330,28,"i_gpI"
"18",0.134034576160413,0.157181571815718,39.03125,4.984375,2.2390873015873,59.9707341269841,0.202297147091515,0.1,9.65625,1.75,6,2,15,19,5.91264115238067,2.40370085030933,2335,28,23088,39,"i_gpI"
"19",-0.0977445947226507,-0.0539647577092509,35.8412698412698,29.8888888888889,2.15616999487967,52.5673323092678,0.166666666666667,0,9.3968253968254,2.0952380952381,52,1,15,20,5.48175767238022,2.29806570636773,2272,35,22734,44,"i_gpI"
"20",0.0765700296778884,-0.13391432035389,33.5396825396825,12.1904761904762,2.08192524321557,48.5678443420379,0.284948855333658,0.152777777777778,12.4444444444444,3.84126984126984,27,7,36,36,10.9952743188913,7.17569002910195,3326,194,37682,834,"i_gpI"
"21",0.0879577816070614,0.054329524463407,35.4833333333333,10.35,2.20282485875706,51.8841807909604,0.200172191132157,0.0588235294117647,9.26666666666667,1.96666666666667,19,1,10,10,6.69142296099551,3.55092094364583,2013,49,19281,118,"i_gpI"
"22",-0.0409261141665938,-0.0812830893802551,38.4375,2.484375,2.2202380952381,60.8288690476191,0.135263407688657,0,8.875,1.75,12,3,33,33,4.66156183378047,2.67854497341433,1917,32,17301,60,"i_gpI"
"23",-0.0634871711299353,-0.281489594742607,35.2881355932203,9.94915254237288,2.21683226183518,51.9871420222092,0.171151776103337,0,8.3728813559322,1.76271186440678,25,2,8,8,4.66423776928659,2.46589833285159,1646,41,14335,78,"i_gpI"
"24",0.0111411439301504,-0.425878320479863,36.3548387096774,4.25806451612903,2.19196192490746,58.9138022210471,0.151098901098901,0,9.06451612903226,1.54838709677419,30,2,33,28,4.67946671944829,2.17796279721677,1964,23,18052,21,"i_gpI"
"25",0.00346551791501901,-0.112746666666667,38.0634920634921,15.4126984126984,2.22785458269329,52.3225806451613,0.190434782608696,0,8.92063492063492,2.03174603174603,28,8,1,3,5.60616477293894,2.873506647041,2008,59,18936,143,"i_gpI"
"26",-0.0790178911972106,-0.21112929623568,36.6666666666667,0.174603174603175,2.18279569892473,62.1484895033282,0.158304498269896,0,8.79365079365079,1.17460317460317,1,1,2,11,4.41097871576443,1.40895388486181,2068,7,19363,2,"i_gpI"
"27",0.0422612015079601,-0.162681433006125,33.921875,35.171875,2.07688492063492,47.5540674603175,0.215114549241297,0.046875,11.15625,2.5625,61,21,10,14,6.29995905756411,3.09569593683445,2879,62,30415,117,"i_gpI"
"28",0.0278992823812624,-0.440207885662886,37.4827586206897,9.81034482758621,2.31518451300665,51.1028433151845,0.179503500954806,0,7.55172413793103,1.51724137931034,11,1,9,32,5.78313462561642,2.6506628056271,1383,38,11651,71,"i_gpI"
"29",0.11624957984139,0.123921284272886,34.03125,23.03125,2.08035714285714,48.2311507936508,0.181246066708622,0.0606060606060606,11.25,3.03125,45,5,15,15,8.19601141864768,5.56910055146978,2794,95,30060,285,"i_gpI"
"30",0.0355585840433692,-0.0666340290761354,31.4761904761905,36.8888888888889,2.01536098310292,32.7613927291347,0.248332097850259,0.0694444444444444,12.9206349206349,4.28571428571429,54,7,9,9,8.45538879001869,5.4637473003619,3377,206,38231,857,"i_gpI"
"31",-0.160054986309186,-0.278409090909091,36.6666666666667,2.98412698412698,2.18279569892473,59.6676907322069,0.162127659574468,0,9.04761904761905,1.71428571428571,63,2,34,34,5.21606875643807,2.18077059056279,2096,33,19936,46,"i_gpI"
"32",0.0600843677683681,-0.161551874111947,34.0576923076923,3.90384615384615,2.33559577677225,46.2684766214178,0.296197464976651,0.203883495145631,8.07692307692308,2.84615384615385,51,7,4,1,8.42462812083471,5.40292083455743,1203,89,9426,271,"i_gpI"
"33",0.0422172728077681,0.0778715120051908,36.4677419354839,2.62903225806452,2.19566367001586,59.2797461660497,0.185169309901414,0.142857142857143,9.06451612903226,1.58064516129032,3,1,36,28,4.91191581515252,1.89519138785916,2045,19,19035,19,"i_gpI"
"34",-0.125814989019984,-0.203478173708214,37.6065573770492,28.7049180327869,2.25355191256831,45.6617486338798,0.193006993006993,0,8.91803278688525,2.42622950819672,28,2,21,21,5.88017880104342,3.0575535775815,1869,68,17032,157,"i_gpI"
"35",0.136083625499062,-0.0514855444571937,29.6428571428571,12.2678571428571,2.07792207792208,37.588961038961,0.35973597359736,0.355731225296443,15.6071428571429,8.60714285714286,12,12,29,29,20.2239089571352,17.09936582708,2764,386,28776,1974,"i_gpI"
"36",0.0533384839859729,-0.109870477891916,38.7460317460317,0.26984126984127,2.24987199180748,62.0563236047107,0.14708886618999,0,8.25396825396825,1.11111111111111,19,1,23,7,4.10730369907014,1.52517699777828,1766,9,15397,5,"i_gpI"
"37",0.0763914405193079,-0.220735147871419,38.8095238095238,7.57142857142857,2.25192012288786,54.3870967741936,0.249906191369606,0.111111111111111,9.52380952380952,2.38095238095238,29,1,4,4,8.50589386336007,5.08136561346415,2221,100,21772,381,"i_gpI"
"38",-0.087009703533183,-0.241947924146918,35.2641509433962,9.24528301886792,2.35631349782293,45.355587808418,0.181520850367948,0,6.9811320754717,1.9622641509434,5,1,31,30,5.83586578521044,2.96753111675049,1075,46,8464,104,"i_gpI"
"39",0.0644860977917358,-0.0207864142923686,33.8888888888889,20.3015873015873,2.09318996415771,43.6548899129544,0.246413502109705,0.200892857142857,12.1269841269841,4.44444444444444,36,13,2,2,11.4109342914141,8.06381358947085,2971,194,32873,826,"i_gpI"
"40",-0.0612528998621459,-0.112826553801889,30.2033898305085,18.2881355932203,2.04149620105202,38.2746931618936,0.331993379049421,0.145161290322581,13.6949152542373,5.49152542372881,46,14,27,27,11.8543666293206,7.34465060166577,3293,280,36517,1305,"i_gpI"
"41",0.209948035328942,0.0579383389261748,37.7241379310345,3.5,2.32365396249244,52.2262552934059,0.261226725082147,0.392045454545455,9.31034482758621,3.89655172413793,12,11,1,1,10.7771800766863,8.34915618211913,1508,130,13172,434,"i_gpI"
"42",-0.0783452556569987,-0.320738299975858,29.36,13.84,2.19836734693878,31.9648979591837,0.3168,0.268370607028754,10.44,5.32,4,4,9,9,11.396669760621,8.81195847952644,1479,257,12624,1223,"i_gpI"
"43",0.0993755271785053,0.315517886333008,39.0655737704918,5.90163934426229,2.30218579234973,54.2131147540984,0.275618374558304,0.448051948051948,10.1639344262295,3.86885245901639,27,5,11,11,11.3873911672353,7.49105112748108,2079,108,20469,325,"i_gpI"
"44",-0.0396125705031294,-0.122499506629111,34.8965517241379,11.8103448275862,2.22444041137326,46.2419842710224,0.235109717868339,0.151079136690647,9.06896551724138,3.06896551724138,18,9,5,5,8.76968876393763,5.06055287516086,1883,125,18132,462,"i_gpI"
"45",0.124732318860315,0.00556739863816047,40.1935483870968,7.48387096774194,2.31782125859334,53.1808566895822,0.201882352941176,0.173076923076923,8.87096774193548,2.51612903225806,9,1,11,23,6.53736767340671,3.9825106813843,1839,92,16821,294,"i_gpI"
